lemma,upos,HS_entry_ref
Live,VERB,1
animal,NOUN,1
;,PUNCT,1
Animal,ADJ,1
product,NOUN,1
Live,VERB,2
animal,NOUN,2
Live,ADJ,3
horse,NOUN,3
",",PUNCT,3
asse,NOUN,3
",",PUNCT,3
mule,NOUN,3
and,CCONJ,3
hinny,NOUN,3
pure,ADJ,4
-,PUNCT,4
breed,ADJ,4
breeding,NOUN,4
horse,NOUN,4
Live,ADJ,5
horse,NOUN,5
(,PUNCT,5
excl,INTJ,5
.,PUNCT,5
pure,ADJ,5
-,PUNCT,5
breed,VERB,5
for,ADP,5
breeding,NOUN,5
),PUNCT,5
Live,ADJ,6
asse,NOUN,6
Live,ADJ,7
mule,NOUN,7
and,CCONJ,7
hinny,NOUN,7
Live,ADJ,8
bovine,NUM,8
animal,NOUN,8
pure,ADJ,9
-,PUNCT,9
breed,VERB,9
cattle,NOUN,9
for,ADP,9
breeding,NOUN,9
Live,ADJ,10
cattle,NOUN,10
(,PUNCT,10
excl,INTJ,10
.,PUNCT,10
pure,ADJ,10
-,PUNCT,10
breed,VERB,10
for,ADP,10
breeding,NOUN,10
),PUNCT,10
pure,ADJ,11
-,PUNCT,11
breed,ADJ,11
buffalo,NOUN,11
for,ADP,11
breeding,NOUN,11
Live,PROPN,12
buffalo,NOUN,12
(,PUNCT,12
excl,INTJ,12
.,PUNCT,12
pure,ADJ,12
-,PUNCT,12
breed,VERB,12
for,ADP,12
breeding,NOUN,12
),PUNCT,12
Live,ADJ,13
bovine,NUM,13
animal,NOUN,13
(,PUNCT,13
excl,INTJ,13
.,PUNCT,13
cattle,NOUN,13
and,CCONJ,13
buffalo,NOUN,13
),PUNCT,13
Live,ADJ,14
swine,NOUN,14
pure,ADJ,15
-,PUNCT,15
breed,ADJ,15
breeding,NOUN,15
swine,NOUN,15
Live,ADJ,16
pure,ADJ,16
-,PUNCT,16
breed,VERB,16
swine,NOUN,16
",",PUNCT,16
weigh,NOUN,16
<,PUNCT,16
50,NUM,16
kg,NOUN,16
(,PUNCT,16
excl,INTJ,16
.,PUNCT,16
pure,ADJ,16
-,PUNCT,16
breed,VERB,16
for,ADP,16
breeding,NOUN,16
),PUNCT,16
Live,ADJ,17
pure,ADJ,17
-,PUNCT,17
breed,VERB,17
swine,NOUN,17
",",PUNCT,17
weigh,VERB,17
>=,SYM,17
50,NUM,17
kg,NOUN,17
(,PUNCT,17
excl,INTJ,17
.,PUNCT,17
pure,ADJ,17
-,PUNCT,17
breed,VERB,17
for,ADP,17
breeding,NOUN,17
),PUNCT,17
Live,ADJ,18
sheep,NOUN,18
and,CCONJ,18
goat,NOUN,18
Live,ADJ,19
sheep,NOUN,19
Live,ADJ,20
goat,NOUN,20
Live,PROPN,21
poultry,NOUN,21
",",PUNCT,21
"""",PUNCT,21
fowl,NOUN,21
of,ADP,21
the,DET,21
species,NOUN,21
Gallus,CCONJ,21
domesticus,NOUN,21
",",PUNCT,21
duck,NOUN,21
",",PUNCT,21
geese,NOUN,21
",",PUNCT,21
turkey,NOUN,21
and,CCONJ,21
guinea,NOUN,21
fowl,NOUN,21
"""",PUNCT,21
Live,ADJ,22
fowl,NOUN,22
of,ADP,22
the,DET,22
species,NOUN,22
Gallus,CCONJ,22
domesticus,NOUN,22
",",PUNCT,22
weigh,VERB,22
<=,SYM,22
185,NUM,22
g,NOUN,22
(,PUNCT,22
excl,INTJ,22
.,PUNCT,22
turkey,NOUN,22
and,CCONJ,22
guinea,NOUN,22
fowl,NOUN,22
),PUNCT,22
Live,ADJ,23
domestic,ADJ,23
turkey,NOUN,23
",",PUNCT,23
weighing,VERB,23
<,PUNCT,23
=,SYM,23
185,NUM,23
g,NOUN,23
Live,ADJ,24
domestic,ADJ,24
duck,NOUN,24
",",PUNCT,24
weighing,VERB,24
<,PUNCT,24
=,SYM,24
185,NUM,24
g,NOUN,24
Live,PROPN,25
domestic,ADJ,25
geese,NOUN,25
",",PUNCT,25
weighing,PRON,25
<,PUNCT,25
=,SYM,25
185,NUM,25
g,NOUN,25
Live,PROPN,26
domestic,ADJ,26
guinea,NOUN,26
fowl,NOUN,26
",",PUNCT,26
weighing,VERB,26
<,PUNCT,26
=,SYM,26
185,NUM,26
g,NOUN,26
Live,ADJ,27
fowl,NOUN,27
of,ADP,27
the,DET,27
species,NOUN,27
Gallus,CCONJ,27
domesticus,NOUN,27
",",PUNCT,27
weighing,NOUN,27
>,PUNCT,27
185,NUM,27
Live,ADJ,28
domestic,ADJ,28
duck,NOUN,28
",",PUNCT,28
geese,NOUN,28
",",PUNCT,28
turkey,NOUN,28
and,CCONJ,28
guinea,NOUN,28
fowl,NOUN,28
",",PUNCT,28
weighing,VERB,28
>,PUNCT,28
185,NUM,28
g,NOUN,28
Live,ADJ,29
animal,NOUN,29
(,PUNCT,29
excl,INTJ,29
.,PUNCT,29
horse,NOUN,29
",",PUNCT,29
asse,NOUN,29
",",PUNCT,29
mule,NOUN,29
",",PUNCT,29
hinny,NOUN,29
",",PUNCT,29
bovine,NUM,29
animal,NOUN,29
",",PUNCT,29
swine,NOUN,29
",",PUNCT,29
sheep,NOUN,29
",",PUNCT,29
goat,NOUN,29
",",PUNCT,29
poultry,NOUN,29
",",PUNCT,29
fish,NOUN,29
",",PUNCT,29
crustacean,NOUN,29
",",PUNCT,29
mollusc,NOUN,29
and,CCONJ,29
other,ADJ,29
aquatic,ADJ,29
invertebrate,NOUN,29
",",PUNCT,29
and,CCONJ,29
microorganic,ADJ,29
culture,NOUN,29
etc.,X,29
),PUNCT,29
Live,ADJ,30
primate,NOUN,30
Live,ADJ,31
whale,NOUN,31
",",PUNCT,31
dolphin,NOUN,31
and,CCONJ,31
porpoise,NOUN,31
(,PUNCT,31
mammal,NOUN,31
of,ADP,31
the,DET,31
order,NOUN,31
Cetacea,PROPN,31
),PUNCT,31
;,PUNCT,31
manatee,NOUN,31
and,CCONJ,31
dugong,NOUN,31
(,PUNCT,31
mammal,NOUN,31
of,ADP,31
the,DET,31
order,NOUN,31
Sirenia,PROPN,31
),PUNCT,31
;,PUNCT,31
seals,NOUN,31
",",PUNCT,31
sea,NOUN,31
lion,NOUN,31
and,CCONJ,31
walruse,NOUN,31
(,PUNCT,31
mammal,NOUN,31
of,ADP,31
the,DET,31
suborder,NOUN,31
Pinnipedia,PROPN,31
