HS_code,Description,is_section,is_chapter,is_heading,is_subheading,section,chapter,heading,subheading
I,LIVE ANIMALS; ANIMAL PRODUCTS,1,0,0,0,1,,,
01,LIVE ANIMALS,0,1,0,0,1,1,,
01.01,"Live horses, asses, mules and hinnies",0,0,1,0,1,1,1,
0101.21,Pure-bred breeding horses,0,0,0,1,1,1,1,21
0101.29,Live horses (excl. pure-bred for breeding),0,0,0,1,1,1,1,29
0101.30,Live asses,0,0,0,1,1,1,1,30
0101.90,Live mules and hinnies,0,0,0,1,1,1,1,90
01.02,Live bovine animals,0,0,1,0,1,1,2,
0102.21,Pure-bred cattle for breeding,0,0,0,1,1,1,2,21
0102.29,Live cattle (excl. pure-bred for breeding),0,0,0,1,1,1,2,29
0102.31,Pure-bred buffalo for breeding,0,0,0,1,1,1,2,31
0102.39,Live buffalo (excl. pure-bred for breeding),0,0,0,1,1,1,2,39
0102.90,Live bovine animals (excl. cattle and buffalo),0,0,0,1,1,1,2,90
01.03,Live swine,0,0,1,0,1,1,3,
0103.10,Pure-bred breeding swine,0,0,0,1,1,1,3,10
0103.91,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)",0,0,0,1,1,1,3,91
0103.92,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)",0,0,0,1,1,1,3,92
01.04,Live sheep and goats,0,0,1,0,1,1,4,
0104.10,Live sheep,0,0,0,1,1,1,4,10
0104.20,Live goats,0,0,0,1,1,1,4,20
01.05,"Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",0,0,1,0,1,1,5,
0105.11,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",0,0,0,1,1,1,5,11
0105.12,"Live domestic turkeys, weighing <= 185 g",0,0,0,1,1,1,5,12
0105.13,"Live domestic ducks, weighing <= 185 g",0,0,0,1,1,1,5,13
0105.14,"Live domestic geese, weighing <= 185 g",0,0,0,1,1,1,5,14
0105.15,"Live domestic guinea fowls, weighing <= 185 g",0,0,0,1,1,1,5,15
0105.94,"Live fowls of the species Gallus domesticus, weighing > 185",0,0,0,1,1,1,5,94
0105.99,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",0,0,0,1,1,1,5,99
01.06,"Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",0,0,1,0,1,1,6,
0106.11,Live primates,0,0,0,1,1,1,6,11
0106.12,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0,0,0,1,1,1,6,12
0106.13,Live camels and other camelids [Camelidae],0,0,0,1,1,1,6,13
0106.14,Live rabbits and hares,0,0,0,1,1,1,6,14
0106.19,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",0,0,0,1,1,1,6,19
0106.20,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",0,0,0,1,1,1,6,20
0106.31,Live birds of prey,0,0,0,1,1,1,6,31
0106.32,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""",0,0,0,1,1,1,6,32
0106.33,"Live ostriches, and emus [Dromaius novaehollandiae]",0,0,0,1,1,1,6,33
0106.39,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",0,0,0,1,1,1,6,39
0106.41,Live bees,0,0,0,1,1,1,6,41
0106.49,Live insects (excl. bees),0,0,0,1,1,1,6,49
0106.90,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)",0,0,0,1,1,1,6,90
02,MEAT AND EDIBLE MEAT OFFAL,0,1,0,0,1,2,,
02.01,"Meat of bovine animals, fresh or chilled",0,0,1,0,1,2,1,
0201.10,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,1,1,2,1,10
0201.20,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)",0,0,0,1,1,2,1,20
0201.30,"Fresh or chilled bovine meat, boneless",0,0,0,1,1,2,1,30
02.02,"Meat of bovine animals, frozen",0,0,1,0,1,2,2,
0202.10,Frozen bovine carcases and half-carcases,0,0,0,1,1,2,2,10
0202.20,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",0,0,0,1,1,2,2,20
0202.30,"Frozen, boneless meat of bovine animals",0,0,0,1,1,2,2,30
02.03,"Meat of swine, fresh, chilled or frozen",0,0,1,0,1,2,3,
0203.11,Fresh or chilled carcases and half-carcases of swine,0,0,0,1,1,2,3,11
0203.12,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in",0,0,0,1,1,2,3,12
0203.19,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",0,0,0,1,1,2,3,19
0203.21,Frozen carcases and half-carcases of swine,0,0,0,1,1,2,3,21
0203.22,"Frozen hams, shoulders and cuts thereof of swine, with bone in",0,0,0,1,1,2,3,22
0203.29,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)",0,0,0,1,1,2,3,29
02.04,"Meat of sheep or goats, fresh, chilled or frozen",0,0,1,0,1,2,4,
0204.10,Fresh or chilled lamb carcases and half-carcases,0,0,0,1,1,2,4,10
0204.21,Fresh or chilled sheep carcases and half-carcases (excl. lambs),0,0,0,1,1,2,4,21
0204.22,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)",0,0,0,1,1,2,4,22
0204.23,Fresh or chilled boneless cuts of sheep,0,0,0,1,1,2,4,23
0204.30,Frozen lamb carcases and half-carcases,0,0,0,1,1,2,4,30
0204.41,Frozen sheep carcases and half-carcases (excl. lambs),0,0,0,1,1,2,4,41
0204.42,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)",0,0,0,1,1,2,4,42
0204.43,Frozen boneless cuts of sheep,0,0,0,1,1,2,4,43
0204.50,"Fresh, chilled or frozen meat of goats",0,0,0,1,1,2,4,50
0205.00,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",0,0,0,1,1,2,4,0
02.06,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",0,0,1,0,1,2,6,
0206.10,Fresh or chilled edible offal of bovine animals,0,0,0,1,1,2,6,10
0206.21,Frozen edible bovine tongues,0,0,0,1,1,2,6,21
0206.22,Frozen edible bovine livers,0,0,0,1,1,2,6,22
0206.29,Frozen edible bovine offal (excl. tongues and livers),0,0,0,1,1,2,6,29
0206.30,Fresh or chilled edible offal of swine,0,0,0,1,1,2,6,30
0206.41,Frozen edible livers of swine,0,0,0,1,1,2,6,41
0206.49,"Edible offal of swine, frozen (excl. livers)",0,0,0,1,1,2,6,49
0206.80,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,1,1,2,6,80
0206.90,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,1,1,2,6,90
02.07,"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls, fresh, chilled or frozen",0,0,1,0,1,2,7,
0207.11,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces",0,0,0,1,1,2,7,11
0207.12,"Frozen fowls of the species Gallus domesticus, not cut in pieces",0,0,0,1,1,2,7,12
0207.13,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus,0,0,0,1,1,2,7,13
0207.14,Frozen cuts and edible offal of fowls of the species Gallus domesticus,0,0,0,1,1,2,7,14
0207.24,"Fresh or chilled turkeys of the species domesticus, not cut in pieces",0,0,0,1,1,2,7,24
0207.25,"Frozen turkeys of the species domesticus, not cut into pieces",0,0,0,1,1,2,7,25
0207.26,Fresh or chilled cuts and edible offal of turkeys of the species domesticus,0,0,0,1,1,2,7,26
0207.27,Frozen cuts and edible offal of turkeys of the species domesticus,0,0,0,1,1,2,7,27
0207.41,"Fresh or chilled domestic ducks, not cut in pieces",0,0,0,1,1,2,7,41
0207.42,"Frozen domestic ducks, not cut in pieces",0,0,0,1,1,2,7,42
0207.43,"Fatty livers of domestic ducks, fresh or chilled",0,0,0,1,1,2,7,43
0207.44,Fresh or chilled cuts and edible offal of domestic ducks (excl. fatty livers),0,0,0,1,1,2,7,44
