VERBS,Freq,Intensity
protect,3875,a
include,2000,
promote,1877,w
ensure,1263,a
use,1250,
support,1206,w
provide,1201,a
improve,1081,a
establish,1011,
reduce,930,a
contain,754,w
encourage,669,w
regulate,625,s
propose,624,
specify,561,a
implement,530,w
prevent,503,s
make,498,
base,476,
develop,465,w
follow,417,
require,403,s
apply,402,
produce,399,
save,391,w
concern,382,
increase,379,a
meet,370,w
list,362,w
import,353,a
aim,348,w
amend,348,a
receive,345,
manage,343,w
prohibit,326,s
exist,323,
approve,316,
modify,316,
conserve,315,w
intend,315,
cover,312,w
achieve,305,
comply,279,w
set,277,a
control,275,a
enhance,265,w
help,256,w
notify,252,
associate,238,
contribute,231,w
carry,230,
process,227,
take,221,
grant,219,a
maintain,205,w
preserve,205,w
define,202,w
assist,199,w
regard,191,
exclude,182,s
work,177,
cause,175,
create,173,
give,170,
relate,162,
deplete,161,
engage,160,
operate,160,
govern,157,w
facilitate,155,w
issue,155,
allow,154,w
limit,152,a
address,150,
depleting,147,
add,146,a
restrict,146,a
affect,145,
integrate,142,w
grow,140,a
manufacture,139,
adopt,138,w
designate,136,w
register,126,w
lead,120,
license,119,w
obtain,119,
prescribe,119,s
derive,118,
generate,118,w
conduct,117,w
introduce,116,
result,116,
implementing,113,w
locate,113,
stimulate,113,w
recycle,112,a
invest,111,a
lay,111,
recycl,111,a
date,109,
exceed,108,
accord,107,
consider,107,
design,107,
modified,104,
pump,104,
prepare,103,
revise,103,
determine,102,w
authorize,101,w
countervail,97,
polychlorinate,97,
strengthen,96,
adapt,95,
sell,95,
liquefy,94,
export,92,
harmonize,92,w
identify,92,w
waste,92,
damage,90,
combine,89,
fire,89,
focus,87,
refer,86,
minimize,84,w
place,84,
originate,83,
wash,82,
label,81,w
publish,80,
purchase,79,a
build,78,a
finance,78,
undertake,78,
restore,75,a
comprise,72,
foster,72,w
administer,71,w
benefit,71,
formulate,71,
package,71,
seek,71,
submit,71,
contaminate,70,
replace,69,
need,68,
refrigerat,67,
drink,66,
pay,66,
perform,65,
qualify,65,
size,65,
target,65,
deliver,64,
expand,64,
select,63,
enable,62,
extend,62,
inform,61,
fulfil,60,a
live,60,
mitigate,60,w
rehabilitate,60,
classify,58,w
update,58,
come,57,
pesticide,57,
treat,57,
assess,56,w
consist,56,
involve,56,
keep,56,
minimise,56,a
monitor,56,w
pose,56,
research,56,w
transport,56,
connect,55,
enter,55,
install,55,
assemble,54,
containe,54,w
incorporate,54,
mean,53,
fishing,52,
secure,52,
specifying,52,w
dry,50,
exempt,50,
participate,50,
schedule,50,
accelerate,49,w
imported,49,
seed,49,
avoid,48,a
drive,48,
put,48,
